serialNo,tdmRequirement,scenario,customerCode,orderReference,pickUpFacilityCode,deliveryFacilityCode,carrierCode,vendorCode,driverDispatched,chargeType,chargePerItem,units
1,addRateLineItemOnly,chargTypeWhiteGlove,{{customerCodeCommon}},{{orderRefCommon}},{{pickUpFacilityCodeCommon}},{{deliveryFacilityCodeCommon}},{{carrierCodeCommon}},,YES,White Glove,160,2
2,addRateLineItemOnly,chargTypeUpCharge,{{customerCodeCommon}},{{orderRefCommon}},{{pickUpFacilityCodeCommon}},{{deliveryFacilityCodeCommon}},{{carrierCodeCommon}},,YES,Up Charge,160,2
3,addRateLineItemOnly,chargTypeTankerEndorsement,{{customerCodeCommon}},{{orderRefCommon}},{{pickUpFacilityCodeCommon}},{{deliveryFacilityCodeCommon}},{{carrierCodeCommon}},,YES,Tanker Endorsement,160,2
4,addRateLineItemOnly,chargTypePalletExchange,{{customerCodeCommon}},{{orderRefCommon}},{{pickUpFacilityCodeCommon}},{{deliveryFacilityCodeCommon}},{{carrierCodeCommon}},,YES,Pallet Exchange,160,2
5,addRateLineItemOnly,chargTypeScaleTicket,{{customerCodeCommon}},{{orderRefCommon}},{{pickUpFacilityCodeCommon}},{{deliveryFacilityCodeCommon}},{{carrierCodeCommon}},,YES,Scale Ticket,160,2
6,addRateLineItemOnly,chargTypeSpecialCharge,{{customerCodeCommon}},{{orderRefCommon}},{{pickUpFacilityCodeCommon}},{{deliveryFacilityCodeCommon}},{{carrierCodeCommon}},,YES,Special Charge,160,2
7,addRateLineItemOnly,chargTypeOverDimensional,{{customerCodeCommon}},{{orderRefCommon}},{{pickUpFacilityCodeCommon}},{{deliveryFacilityCodeCommon}},{{carrierCodeCommon}},,YES,Over Dimensional,160,2
8,addRateLineItemOnly,chargTypeLimitedAccess,{{customerCodeCommon}},{{orderRefCommon}},{{pickUpFacilityCodeCommon}},{{deliveryFacilityCodeCommon}},{{carrierCodeCommon}},,YES,Limited Access,160,2
9,addRateLineItemOnly,chargTypeLiftGate,{{customerCodeCommon}},{{orderRefCommon}},{{pickUpFacilityCodeCommon}},{{deliveryFacilityCodeCommon}},{{carrierCodeCommon}},,YES,Lift Gate,160,2
10,addRateLineItemOnly,chargeTypeHazmat,{{customerCodeCommon}},{{orderRefCommon}},{{pickUpFacilityCodeCommon}},{{deliveryFacilityCodeCommon}},{{carrierCodeCommon}},,YES,Hazmat,160,2
11,addRateLineItemOnly,chargeTypeLayover,{{customerCodeCommon}},{{orderRefCommon}},{{pickUpFacilityCodeCommon}},{{deliveryFacilityCodeCommon}},{{carrierCodeCommon}},,YES,Layover,160,2
12,addRateLineItemOnly,chargeTypeLumper,{{customerCodeCommon}},{{orderRefCommon}},{{pickUpFacilityCodeCommon}},{{deliveryFacilityCodeCommon}},{{carrierCodeCommon}},,YES,Lumper,160,2
13,addRateLineItemOnly,chargeTypeTeamService,{{customerCodeCommon}},{{orderRefCommon}},{{pickUpFacilityCodeCommon}},{{deliveryFacilityCodeCommon}},{{carrierCodeCommon}},,YES,Team Service,160,2
14,addRateLineItemOnly,chargeTypeStopOffCharge,{{customerCodeCommon}},{{orderRefCommon}},{{pickUpFacilityCodeCommon}},{{deliveryFacilityCodeCommon}},{{carrierCodeCommon}},,YES,Stop Off Charge,160,2
15,addRateLineItemOnly,chargeTypeFuelSurcharge,{{customerCodeCommon}},{{orderRefCommon}},{{pickUpFacilityCodeCommon}},{{deliveryFacilityCodeCommon}},{{carrierCodeCommon}},,YES,Fuel Surcharge,160,2
16,addRateLineItemOnly,chargTypeLateFee,{{customerCodeCommon}},{{orderRefCommon}},{{pickUpFacilityCodeCommon}},{{deliveryFacilityCodeCommon}},{{carrierCodeCommon}},,YES,Late Fee,150,2
17,addRateLineItemOnly,chargTypeHighCargoValue,{{customerCodeCommon}},{{orderRefCommon}},{{pickUpFacilityCodeCommon}},{{deliveryFacilityCodeCommon}},{{carrierCodeCommon}},,YES,High Cargo Value,150,2
18,addRateLineItemOnly,chargTypeDropTrailerCharge,{{customerCodeCommon}},{{orderRefCommon}},{{pickUpFacilityCodeCommon}},{{deliveryFacilityCodeCommon}},{{carrierCodeCommon}},,YES,Drop Trailer Charge,150,2
19,addRateLineItemOnly,chargTypeGuaranteedService,{{customerCodeCommon}},{{orderRefCommon}},{{pickUpFacilityCodeCommon}},{{deliveryFacilityCodeCommon}},{{carrierCodeCommon}},,YES,Guaranteed Service,150,2
20,addRateLineItemOnly,chargTypeDriverAssist,{{customerCodeCommon}},{{orderRefCommon}},{{pickUpFacilityCodeCommon}},{{deliveryFacilityCodeCommon}},{{carrierCodeCommon}},,YES,Driver Assist,150,2
21,addRateLineItemOnly,chargTypeCustomsFees,{{customerCodeCommon}},{{orderRefCommon}},{{pickUpFacilityCodeCommon}},{{deliveryFacilityCodeCommon}},{{carrierCodeCommon}},,YES,Customs Fees,150,2
22,addRateLineItemOnly,chargTypeBorderCrossing,{{customerCodeCommon}},{{orderRefCommon}},{{pickUpFacilityCodeCommon}},{{deliveryFacilityCodeCommon}},{{carrierCodeCommon}},,YES,Border Crossing,150,2
23,addRateLineItemOnly,chargTypeBondedCarrier,{{customerCodeCommon}},{{orderRefCommon}},{{pickUpFacilityCodeCommon}},{{deliveryFacilityCodeCommon}},{{carrierCodeCommon}},,YES,Bonded Carrier,150,2
24,addRateLineItemOnly,chargTypeBlindShipment,{{customerCodeCommon}},{{orderRefCommon}},{{pickUpFacilityCodeCommon}},{{deliveryFacilityCodeCommon}},{{carrierCodeCommon}},,YES,Blind Shipment,150,2
25,addRateLineItemOnly,chargTypeDetentionUnloading,{{customerCodeCommon}},{{orderRefCommon}},{{pickUpFacilityCodeCommon}},{{deliveryFacilityCodeCommon}},{{carrierCodeCommon}},,YES,Detention Unloading,150,2
26,addRateLineItemOnly,chargeTypeDetentionLoading,{{customerCodeCommon}},{{orderRefCommon}},{{pickUpFacilityCodeCommon}},{{deliveryFacilityCodeCommon}},{{carrierCodeCommon}},,YES,Detention Loading,150,2
27,addRateLineItemOnly,chargeTypePerMile,{{customerCodeCommon}},{{orderRefCommon}},{{pickUpFacilityCodeCommon}},{{deliveryFacilityCodeCommon}},{{carrierCodeCommon}},,YES,Per Mile,150,2
28,addRateLineItemOnly,chargeTypeFlatRate,{{customerCodeCommon}},{{orderRefCommon}},{{pickUpFacilityCodeCommon}},{{deliveryFacilityCodeCommon}},{{carrierCodeCommon}},,YES,Flat Rate,150,1
29,addRateLineItemOnly,chargeTypeLinehaul,{{customerCodeCommon}},{{orderRefCommon}},{{pickUpFacilityCodeCommon}},{{deliveryFacilityCodeCommon}},{{carrierCodeCommon}},,YES,Linehaul,150,2
30,addRateLineItemOnly,chargeTypeFlatRate,{{customerCodeCommon}},{{orderRefCommon}},{{pickUpFacilityCodeCommon}},{{deliveryFacilityCodeCommon}},{{carrierCodeCommon}},,YES,Flat Rate,,
31,addRateLineItemOnly,chargeTypeFlatRateWithAmount,{{customerCodeCommon}},{{orderRefCommon}},{{pickUpFacilityCodeCommon}},{{deliveryFacilityCodeCommon}},{{carrierCodeCommon}},,YES,Flat Rate,1500,1
32,addRateLineItemOnly,customerWithoutEmail,{{customerWithInvMethEDI}},{{orderRefCommon}},{{pickUpFacilityCodeCommon}},{{deliveryFacilityCodeCommon}},{{carrierCodeCommon}},,YES,Flat Rate,1500,1
33,addRateLineItemOnly,customerInvMethEmail,{{customerWithInvMethEmail}},{{orderRefCommon}},{{pickUpFacilityCodeCommon}},{{deliveryFacilityCodeCommon}},{{carrierCodeCommon}},,YES,Flat Rate,150,1
