serialNo,tdmRequirement,scenario,customerCode,orderReference,pickUpFacilityCode,deliveryFacilityCode,carrierCode,vendorCode,driverDispatched
1,addVendorInvoice,common1,ERTEST,ENAVTEST05051000,FAMILYFAREOMAHA,COSTCO75236,ERICTS,,YES
2,addVendorInvoice,common2,ERTEST,ENAVTEST05051001,FAMILYFAREOMAHA,COSTCO75236,ERICTS,,YES
3,addVendorInvoice,common3,ERTEST,ENAVTEST05051002,FAMILYFAREOMAHA,COSTCO75236,ERICTS,,YES
4,addVendorInvoice,common4,ERTEST,ENAVTEST05051003,FAMILYFAREOMAHA,COSTCO75236,ERICTS,,YES
5,addVendorInvoice,common5,ERTEST,ENAVTEST05051004,FAMILYFAREOMAHA,COSTCO75236,ERICTS,,YES
6,addVendorInvoice,common6,ERTEST,ENAVTEST05051005,FAMILYFAREOMAHA,COSTCO75236,ERICTS,,YES
7,addVendorInvoice,common7,ERTEST,ENAVTEST05051006,FAMILYFAREOMAHA,COSTCO75236,ERICTS,,YES
8,addVendorInvoice,common8,ERTEST,ENAVTEST05051007,FAMILYFAREOMAHA,COSTCO75236,ERICTS,,YES
9,addVendorInvoice,common9,ERTEST,ENAVTEST05051008,FAMILYFAREOMAHA,COSTCO75236,ERICTS,,YES
10,addVendorInvoice,common10,ERTEST,ENAVTEST05051009,FAMILYFAREOMAHA,COSTCO75236,ERICTS,,YES
11,addVendorInvoice,common11,ERTEST,ENAVTEST05051010,FAMILYFAREOMAHA,COSTCO75236,ERICTS,,YES
12,addVendorInvoice,common12,ERTEST,ENAVTEST05051011,FAMILYFAREOMAHA,COSTCO75236,ERICTS,,YES
13,addVendorInvoice,common13,ERTEST,ENAVTEST05051012,FAMILYFAREOMAHA,COSTCO75236,ERICTS,,YES
14,addVendorInvoice,common14,ERTEST,ENAVTEST05051013,FAMILYFAREOMAHA,COSTCO75236,ERICTS,,YES
15,addVendorInvoice,common15,ERTEST,ENAVTEST05051014,FAMILYFAREOMAHA,COSTCO75236,ERICTS,,YES
16,addVendorInvoice,common16,ERTEST,ENAVTEST05051015,FAMILYFAREOMAHA,COSTCO75236,ERICTS,,YES
17,addVendorInvoice,common17,ERTEST,ENAVTEST05051016,FAMILYFAREOMAHA,COSTCO75236,ERICTS,,YES
18,addVendorInvoice,common18,ERTEST,ENAVTEST05051017,FAMILYFAREOMAHA,COSTCO75236,ERICTS,,YES
19,addVendorInvoice,common19,ERTEST,ENAVTEST05051018,FAMILYFAREOMAHA,COSTCO75236,ERICTS,,YES
